Bus,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,
3,49.31,42.9,43.43,42.17,41.92,38.66,36.63,40.13,41.3,40.74,38.19,39.72,41.65,39.63,34.51,36.07,41.83,43.69,50.82,63.75,83.25,96.71,112.34,122.31
4,33.88,29.36,27.12,24.02,23.83,24.91,22.43,23.04,23.31,24.46,25.16,26.1,25.77,24.15,22.51,22.57,23.21,25.68,33.3,47.88,52.79,65.07,80.68,85.06
5,69.0,56.01,52.33,55.95,54.33,50.78,49.2,48.32,51.0,52.43,52.14,49.26,51.01,50.48,50.48,50.31,52.05,63.83,74.86,82.82,95.89,122.79,140.97,153.19
6,107.74,93.17,90.64,92.31,89.49,86.57,83.72,83.73,84.14,83.33,81.49,82.48,80.07,80.35,78.86,82.16,86.38,92.74,107.49,117.82,134.53,163.72,177.76,186.11
7,35.96,29.59,29.26,29.78,30.36,30.05,27.73,28.17,29.05,28.83,27.23,27.85,28.67,29.57,28.51,34.57,41.08,36.68,43.15,50.6,58.22,75.03,89.85,100.5
8,,,,,,,,,,,,,,,,,,,,,,,,
9,33.97,27.65,25.7,26.66,26.31,24.66,22.78,26.82,24.89,23.37,23.55,23.24,22.97,21.41,22.59,24.35,24.85,31.86,37.09,47.71,52.82,65.92,83.68,95.08
10,50.11,42.65,40.35,41.65,39.58,37.72,37.02,36.79,38.07,35.48,35.65,36.37,35.05,35.15,35.66,37.44,40.86,45.94,52.42,64.02,69.55,97.34,114.09,119.74
11,22.22,18.63,15.2,19.29,19.75,19.25,19.29,20.33,23.16,23.56,21.33,19.79,19.52,19.16,17.66,19.68,23.94,26.1,29.26,34.51,43.76,60.55,66.24,70.79
12,,,,,,,,,,,,,,,,,,,,,,,,
13,93.61,80.09,75.59,73.38,74.12,69.87,63.82,65.7,64.75,64.62,61.89,62.64,62.52,65.22,60.82,62.99,66.43,75.28,90.44,99.45,115.65,137.99,156.86,169.4
14,,,,,,,,,,,,,,,,,,,,,,,,
15,29.75,24.99,21.16,22.43,23.22,23.98,25.07,22.3,22.93,26.24,27.13,23.45,23.19,24.09,22.89,22.79,23.55,26.1,32.42,41.1,57.89,70.92,71.2,83.55
16,48.22,40.05,37.63,37.27,36.08,34.11,32.33,34.29,35.95,35.67,36.29,36.35,36.66,33.98,32.83,36.55,41.06,41.9,46.13,55.11,68.97,88.59,102.35,116.33
17,39.59,28.19,27.06,28.1,30.8,33.14,30.01,30.2,31.22,29.48,29.88,31.12,30.59,29.05,29.76,30.72,32.11,35.63,47.39,53.27,59.2,89.26,101.93,109.68
18,,,,,,,,,,,,,,,,,,,,,,,,
19,13.26,11.18,10.49,10.65,10.02,9.11,8.52,9.54,9.36,8.67,7.95,8.71,9.5,8.62,8.08,8.97,10.8,13.72,14.31,19.18,23.64,31.79,32.26,35.37
20,2.6,2.23,1.85,2.13,1.77,1.43,1.03,1.17,1.29,1.62,1.31,0.87,1.28,1.84,1.06,1.13,1.46,3.06,3.39,1.41,1.82,5.45,4.52,3.01
21,64.97,53.88,54.97,57.02,54.24,49.3,44.89,43.2,48.72,50.43,47.57,46.63,44.39,42.96,46.44,51.17,49.59,53.31,65.31,76.93,86.7,112.6,126.55,137.2
22,89.85,76.54,69.2,68.15,69.65,68.69,67.65,67.28,68.19,66.3,65.78,66.28,65.64,66.99,66.87,67.39,69.54,77.99,85.94,95.74,111.79,140.06,159.26,165.28
23,,,,,,,,,,,,,,,,,,,,,,,,
24,33.88,29.36,27.12,24.02,23.83,24.91,22.43,23.04,23.31,24.46,25.16,26.1,25.77,24.15,22.51,22.57,23.21,25.68,33.3,47.88,52.79,65.07,80.68,85.06
25,69.0,56.01,52.33,55.95,54.33,50.78,49.2,48.32,51.0,52.43,52.14,49.26,51.01,50.48,50.48,50.31,52.05,63.83,74.86,82.82,95.89,122.79,140.97,153.19
26,,,,,,,,,,,,,,,,,,,,,,,,
27,35.96,29.59,29.26,29.78,30.36,30.05,27.73,28.17,29.05,28.83,27.23,27.85,28.67,29.57,28.51,34.57,41.08,36.68,43.15,50.6,58.22,75.03,89.85,100.5
28,,,,,,,,,,,,,,,,,,,,,,,,
29,93.61,80.09,75.59,73.38,74.12,69.87,63.82,65.7,64.75,64.62,61.89,62.64,62.52,65.22,60.82,62.99,66.43,75.28,90.44,99.45,115.65,137.99,156.86,169.4
30,,,,,,,,,,,,,,,,,,,,,,,,
31,29.75,24.99,21.16,22.43,23.22,23.98,25.07,22.3,22.93,26.24,27.13,23.45,23.19,24.09,22.89,22.79,23.55,26.1,32.42,41.1,57.89,70.92,71.2,83.55
32,48.22,40.05,37.63,37.27,36.08,34.11,32.33,34.29,35.95,35.67,36.29,36.35,36.66,33.98,32.83,36.55,41.06,41.9,46.13,55.11,68.97,88.59,102.35,116.33
33,39.59,28.19,27.06,28.1,30.8,33.14,30.01,30.2,31.22,29.48,29.88,31.12,30.59,29.05,29.76,30.72,32.11,35.63,47.39,53.27,59.2,89.26,101.93,109.68
