Bus,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,
3,36.99,32.17,32.57,31.63,31.44,28.99,27.47,30.09,30.98,30.55,28.65,29.79,31.24,29.72,25.88,27.05,31.37,32.77,38.11,47.81,62.44,72.53,84.25,91.73
4,25.41,22.02,20.34,18.02,17.87,18.68,16.83,17.28,17.48,18.34,18.87,19.58,19.33,18.11,16.88,16.93,17.41,19.26,24.98,35.91,39.59,48.8,60.51,63.79
5,51.75,42.01,39.25,41.96,40.75,38.09,36.9,36.24,38.25,39.32,39.11,36.95,38.26,37.86,37.86,37.73,39.03,47.87,56.15,62.11,71.92,92.09,105.73,114.89
6,80.81,69.88,67.98,69.23,67.12,64.93,62.79,62.8,63.1,62.5,61.12,61.86,60.05,60.26,59.15,61.62,64.79,69.56,80.62,88.36,100.9,122.79,133.32,139.58
7,26.97,22.19,21.95,22.33,22.77,22.53,20.8,21.13,21.79,21.62,20.42,20.89,21.5,22.18,21.38,25.93,30.81,27.51,32.36,37.95,43.67,56.27,67.39,75.38
8,,,,,,,,,,,,,,,,,,,,,,,,
9,25.48,20.74,19.28,20.0,19.73,18.49,17.09,20.11,18.67,17.53,17.66,17.43,17.23,16.06,16.95,18.26,18.64,23.89,27.82,35.78,39.62,49.44,62.76,71.31
10,37.58,31.99,30.26,31.23,29.69,28.29,27.76,27.59,28.56,26.61,26.74,27.28,26.29,26.36,26.74,28.08,30.65,34.45,39.32,48.02,52.16,73.01,85.57,89.81
11,16.66,13.97,11.4,14.47,14.81,14.44,14.47,15.25,17.37,17.67,16.0,14.84,14.64,14.37,13.24,14.76,17.96,19.58,21.95,25.88,32.82,45.41,49.68,53.09
12,,,,,,,,,,,,,,,,,,,,,,,,
13,70.21,60.07,56.7,55.03,55.59,52.4,47.86,49.27,48.56,48.47,46.42,46.98,46.89,48.92,45.61,47.25,49.82,56.46,67.83,74.58,86.74,103.49,117.64,127.05
14,,,,,,,,,,,,,,,,,,,,,,,,
15,22.31,18.75,15.87,16.82,17.42,17.99,18.8,16.73,17.19,19.68,20.35,17.59,17.39,18.07,17.17,17.09,17.66,19.58,24.31,30.82,43.42,53.19,53.4,62.66
16,36.16,30.04,28.22,27.96,27.06,25.58,24.25,25.72,26.96,26.75,27.22,27.26,27.49,25.48,24.62,27.42,30.8,31.43,34.6,41.34,51.72,66.44,76.76,87.24
17,29.69,21.14,20.3,21.08,23.1,24.85,22.5,22.65,23.41,22.11,22.41,23.34,22.94,21.79,22.32,23.04,24.08,26.72,35.54,39.96,44.4,66.95,76.45,82.26
18,,,,,,,,,,,,,,,,,,,,,,,,
19,9.94,8.39,7.87,7.99,7.51,6.83,6.39,7.15,7.02,6.5,5.97,6.53,7.13,6.47,6.06,6.73,8.1,10.29,10.73,14.39,17.73,23.84,24.19,26.53
20,1.95,1.67,1.39,1.6,1.33,1.07,0.77,0.88,0.97,1.22,0.98,0.65,0.96,1.38,0.8,0.85,1.09,2.29,2.54,1.06,1.36,4.09,3.39,2.26
21,48.73,40.41,41.23,42.76,40.68,36.97,33.67,32.4,36.54,37.82,35.68,34.98,33.29,32.22,34.83,38.38,37.19,39.98,48.98,57.7,65.02,84.45,94.91,102.9
22,67.39,57.41,51.9,51.11,52.23,51.52,50.74,50.46,51.14,49.73,49.33,49.71,49.23,50.24,50.15,50.54,52.15,58.49,64.45,71.8,83.84,105.04,119.44,123.96
23,,,,,,,,,,,,,,,,,,,,,,,,
24,25.41,22.02,20.34,18.02,17.87,18.68,16.83,17.28,17.48,18.34,18.87,19.58,19.33,18.11,16.88,16.93,17.41,19.26,24.98,35.91,39.59,48.8,60.51,63.79
25,51.75,42.01,39.25,41.96,40.75,38.09,36.9,36.24,38.25,39.32,39.11,36.95,38.26,37.86,37.86,37.73,39.03,47.87,56.15,62.11,71.92,92.09,105.73,114.89
26,,,,,,,,,,,,,,,,,,,,,,,,
27,26.97,22.19,21.95,22.33,22.77,22.53,20.8,21.13,21.79,21.62,20.42,20.89,21.5,22.18,21.38,25.93,30.81,27.51,32.36,37.95,43.67,56.27,67.39,75.38
28,,,,,,,,,,,,,,,,,,,,,,,,
29,70.21,60.07,56.7,55.03,55.59,52.4,47.86,49.27,48.56,48.47,46.42,46.98,46.89,48.92,45.61,47.25,49.82,56.46,67.83,74.58,86.74,103.49,117.64,127.05
30,,,,,,,,,,,,,,,,,,,,,,,,
31,22.31,18.75,15.87,16.82,17.42,17.99,18.8,16.73,17.19,19.68,20.35,17.59,17.39,18.07,17.17,17.09,17.66,19.58,24.31,30.82,43.42,53.19,53.4,62.66
32,36.16,30.04,28.22,27.96,27.06,25.58,24.25,25.72,26.96,26.75,27.22,27.26,27.49,25.48,24.62,27.42,30.8,31.43,34.6,41.34,51.72,66.44,76.76,87.24
33,29.69,21.14,20.3,21.08,23.1,24.85,22.5,22.65,23.41,22.11,22.41,23.34,22.94,21.79,22.32,23.04,24.08,26.72,35.54,39.96,44.4,66.95,76.45,82.26
